id,id_dem,scenario,date,value
1,1,1,2025-01-07T00:00:00.0,590.0401999999999
2,1,1,2025-01-07T01:00:00.0,562.4314449999999
3,1,1,2025-01-07T02:00:00.0,546.865065
4,1,1,2025-01-07T03:00:00.0,541.60253
5,1,1,2025-01-07T04:00:00.0,548.496785
6,1,1,2025-01-07T05:00:00.0,577.5095699999999
7,1,1,2025-01-07T06:00:00.0,655.5727850000001
8,1,1,2025-01-07T07:00:00.0,745.28392
9,1,1,2025-01-07T08:00:00.0,801.63519
10,1,1,2025-01-07T09:00:00.0,826.62759
11,1,1,2025-01-07T10:00:00.0,834.48693
12,1,1,2025-01-07T11:00:00.0,861.9013299999999
13,1,1,2025-01-07T12:00:00.0,881.989145
14,1,1,2025-01-07T13:00:00.0,886.13147
15,1,1,2025-01-07T14:00:00.0,887.530515
16,1,1,2025-01-07T15:00:00.0,897.59699
17,1,1,2025-01-07T16:00:00.0,890.68419
18,1,1,2025-01-07T17:00:00.0,873.4617049999999
19,1,1,2025-01-07T18:00:00.0,849.27202
20,1,1,2025-01-07T19:00:00.0,852.678995
21,1,1,2025-01-07T20:00:00.0,813.95841
22,1,1,2025-01-07T21:00:00.0,760.82617
23,1,1,2025-01-07T22:00:00.0,712.353445
24,1,1,2025-01-07T23:00:00.0,643.18679
25,1,1,2025-01-08T00:00:00.0,586.34388
26,1,1,2025-01-08T01:00:00.0,558.4918
27,1,1,2025-01-08T02:00:00.0,544.90948
28,1,1,2025-01-08T03:00:00.0,538.78048
29,1,1,2025-01-08T04:00:00.0,542.6926450000001
30,1,1,2025-01-08T05:00:00.0,573.2736150000001
31,1,1,2025-01-08T06:00:00.0,654.369275
32,1,1,2025-01-08T07:00:00.0,756.65398
33,1,1,2025-01-08T08:00:00.0,826.56345
34,1,1,2025-01-08T09:00:00.0,858.72237
35,1,1,2025-01-08T10:00:00.0,869.98131
36,1,1,2025-01-08T11:00:00.0,882.42362
37,1,1,2025-01-08T12:00:00.0,898.83755
38,1,1,2025-01-08T13:00:00.0,906.333635
39,1,1,2025-01-08T14:00:00.0,906.496135
40,1,1,2025-01-08T15:00:00.0,920.74195
41,1,1,2025-01-08T16:00:00.0,917.63213
42,1,1,2025-01-08T17:00:00.0,888.9347700000001
43,1,1,2025-01-08T18:00:00.0,863.4313
44,1,1,2025-01-08T19:00:00.0,869.3417649999999
45,1,1,2025-01-08T20:00:00.0,833.62535
46,1,1,2025-01-08T21:00:00.0,774.732215
47,1,1,2025-01-08T22:00:00.0,724.777765
48,1,1,2025-01-08T23:00:00.0,658.223215
49,1,1,2025-01-09T00:00:00.0,603.9469300000001
50,1,1,2025-01-09T01:00:00.0,575.23855
