id,ess_id,scenario,date,value
1,62,1,2025-01-20 00:00:00,2.43347
2,63,1,2025-01-20 00:00:00,2.23830576
3,64,1,2025-01-20 00:00:00,0.13363736
4,65,1,2025-01-20 00:00:00,11.86981686
5,66,1,2025-01-20 00:00:00,5.8022849
6,67,1,2025-01-20 00:00:00,2.43595322
7,68,1,2025-01-20 00:00:00,23.05902236
8,69,1,2025-01-20 00:00:00,4.89378716
9,70,1,2025-01-20 00:00:00,30.27264
10,71,1,2025-01-20 00:00:00,1.72404
11,72,1,2025-01-20 00:00:00,124.9210149
12,73,1,2025-01-20 00:00:00,4.46244512
13,62,2,2025-01-20 00:00:00,24.14782674
14,63,2,2025-01-20 00:00:00,22.51833212
15,64,2,2025-01-20 00:00:00,1.35496454
16,65,2,2025-01-20 00:00:00,122.7772766
17,66,2,2025-01-20 00:00:00,49.3208353
18,67,2,2025-01-20 00:00:00,21.22326714
19,68,2,2025-01-20 00:00:00,206.5805332
20,69,2,2025-01-20 00:00:00,43.27120434
21,70,2,2025-01-20 00:00:00,240.71594
22,71,2,2025-01-20 00:00:00,5.9644924
23,72,2,2025-01-20 00:00:00,185.93349812
24,73,2,2025-01-20 00:00:00,6.77220188
25,62,3,2025-01-20 00:00:00,15.7565327
26,63,3,2025-01-20 00:00:00,14.99549326
27,64,3,2025-01-20 00:00:00,0.92525296
28,65,3,2025-01-20 00:00:00,80.88214098
29,66,3,2025-01-20 00:00:00,37.15545566
30,67,3,2025-01-20 00:00:00,15.879383
31,68,3,2025-01-20 00:00:00,151.76286722
32,69,3,2025-01-20 00:00:00,31.44746576
33,70,3,2025-01-20 00:00:00,201.59238
34,71,3,2025-01-20 00:00:00,5.4571552
35,72,3,2025-01-20 00:00:00,186.80416248
36,73,3,2025-01-20 00:00:00,6.73570952
