date,gen_id,scenario,hydro_year,value
2024-07-01 00:00:00,25,2,Average,17.18710585136111
2024-07-01 00:00:00,34,2,Average,12.912140436555553
2024-07-01 00:00:00,43,2,Average,204.2386537971389
2024-07-01 00:00:00,44,2,Average,118.6521013088889
2024-07-01 00:00:00,59,2,Average,387.0152363281111
2024-07-01 00:00:00,51,2,Average,132.43668366683332
2024-07-01 00:00:00,24,2,Average,73.95515784166669
2024-07-01 00:00:00,28,2,Average,78.58994975
2024-07-01 00:00:00,30,2,Average,55.6175029
2024-07-01 00:00:00,32,2,Average,39.89951295
2024-07-01 00:00:00,33,2,Average,400.0026929583333
2024-07-01 00:00:00,37,2,Average,133.40140188333334
2024-07-01 00:00:00,40,2,Average,75.567259375
2024-07-01 00:00:00,27,2,Average,163.62830563333333
2024-07-01 00:00:00,39,2,Average,30.02539105833333
2024-07-01 00:00:00,41,2,Average,73.95515784166669
2024-07-01 00:00:00,42,2,Average,37.07833526666666
2024-07-01 00:00:00,45,2,Average,277.6844891166667
2024-07-01 00:00:00,46,2,Average,214.00647855
2024-07-01 00:00:00,47,2,Average,83.22474165833334
2024-07-01 00:00:00,48,2,Average,86.04591934166666
2024-07-01 00:00:00,49,2,Average,76.57482283333333
2024-07-01 00:00:00,50,2,Average,115.66828501666667
2024-07-01 00:00:00,29,2,Average,77.26772775
2024-07-01 00:00:00,31,2,Average,59.31607458333334
2024-07-01 00:00:00,36,2,Average,20.990717125
2024-07-01 00:00:00,35,2,Average,20.990717125
2024-07-01 00:00:00,26,2,Average,63.64955783333334
2024-07-01 00:00:00,52,2,Average,14.426078625
2024-07-01 00:00:00,23,2,Average,19.888417194444443
2024-07-01 00:00:00,38,2,Average,50.42407883333334
2024-07-01 00:00:00,55,2,Average,0.0
2024-07-01 00:00:00,56,2,Average,0.0
2024-07-01 00:00:00,57,2,Average,0.0
2024-07-01 00:00:00,58,2,Average,0.0
2024-07-01 00:00:00,60,2,Average,0.0
2024-07-01 00:00:00,61,2,Average,0.0
2024-08-01 00:00:00,25,2,Average,10.404038783388888
2024-08-01 00:00:00,34,2,Average,7.816232182444445
2024-08-01 00:00:00,43,2,Average,123.6337806696111
2024-08-01 00:00:00,44,2,Average,71.82483627111112
2024-08-01 00:00:00,59,2,Average,234.2757159548889
2024-08-01 00:00:00,51,2,Average,80.16919224966666
2024-08-01 00:00:00,24,2,Average,77.74076166930556
2024-08-01 00:00:00,28,2,Average,82.61279850416666
2024-08-01 00:00:00,30,2,Average,58.46444201833334
2024-08-01 00:00:00,32,2,Average,41.941882317499996
2024-08-01 00:00:00,33,2,Average,420.477961617361
2024-08-01 00:00:00,37,2,Average,140.22992976861107
2024-08-01 00:00:00,40,2,Average,79.43538317708332
2024-08-01 00:00:00,27,2,Average,172.00408303944445
2024-08-01 00:00:00,39,2,Average,31.56232558236111
2024-08-01 00:00:00,41,2,Average,77.74076166930556
2024-08-01 00:00:00,42,2,Average,38.976294678888884
2024-08-01 00:00:00,45,2,Average,291.89855471472225
2024-08-01 00:00:00,46,2,Average,224.9610051575
2024-08-01 00:00:00,47,2,Average,87.48483533902778
2024-08-01 00:00:00,48,2,Average,90.4504229776389
2024-08-01 00:00:00,49,2,Average,80.49452161944444
2024-08-01 00:00:00,50,2,Average,121.58909318305554
2024-08-01 00:00:00,29,2,Average,90.87825469444446
2024-08-01 00:00:00,31,2,Average,77.18636555555555
2024-08-01 00:00:00,36,2,Average,23.418988791666667
2024-08-01 00:00:00,35,2,Average,23.418988791666667
2024-08-01 00:00:00,26,2,Average,76.60200602777778
2024-08-01 00:00:00,52,2,Average,17.361731958333333
2024-08-01 00:00:00,23,2,Average,17.927134861111114
2024-08-01 00:00:00,38,2,Average,102.27862798611112
2024-08-01 00:00:00,55,2,Average,0.0
2024-08-01 00:00:00,56,2,Average,0.0
2024-08-01 00:00:00,57,2,Average,0.0
2024-08-01 00:00:00,58,2,Average,0.0
2024-08-01 00:00:00,60,2,Average,0.0
2024-08-01 00:00:00,61,2,Average,0.0
2024-09-01 00:00:00,25,2,Average,10.9834734825
2024-09-01 00:00:00,34,2,Average,8.25154353
2024-09-01 00:00:00,43,2,Average,130.5193473225
2024-09-01 00:00:00,44,2,Average,75.82499460000001
2024-09-01 00:00:00,59,2,Average,247.32329121
2024-09-01 00:00:00,51,2,Average,84.634074855
2024-09-01 00:00:00,24,2,Average,56.143320270138894
2024-09-01 00:00:00,28,2,Average,59.661838979166674
2024-09-01 00:00:00,30,2,Average,42.22222450833333
2024-09-01 00:00:00,32,2,Average,30.2898567125
2024-09-01 00:00:00,33,2,Average,303.66346249652776
2024-09-01 00:00:00,37,2,Average,101.27214719027778
2024-09-01 00:00:00,40,2,Average,57.36715286458334
2024-09-01 00:00:00,27,2,Average,124.21900833611109
2024-09-01 00:00:00,39,2,Average,22.793882071527776
2024-09-01 00:00:00,41,2,Average,56.143320270138894
2024-09-01 00:00:00,42,2,Average,28.14814967222222
2024-09-01 00:00:00,45,2,Average,210.80516439305555
2024-09-01 00:00:00,46,2,Average,162.46377691249998
